time_window_sec,amm_oracle,oracle_count,trade_count,oracle_trade_ratio,pool,pool_oracle_p99,pool_trade_p10
2548659,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2548660,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2548680,BisonFi,12,0,12.0,BisonFi,10.0,0.0
2548734,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2549424,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2549795,BisonFi,12,0,12.0,BisonFi,10.0,0.0
2549809,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2550445,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2550462,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2550779,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2551244,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2552297,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2552642,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2552754,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2553339,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2553381,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2553504,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2553643,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2553662,BisonFi,14,0,14.0,BisonFi,10.0,0.0
2553844,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2553977,BisonFi,12,0,12.0,BisonFi,10.0,0.0
2554018,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2554090,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2555037,BisonFi,12,0,12.0,BisonFi,10.0,0.0
2555444,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2555505,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2555813,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2556004,BisonFi,12,0,12.0,BisonFi,10.0,0.0
2556657,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2556706,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2556826,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2557124,BisonFi,13,0,13.0,BisonFi,10.0,0.0
2557255,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2557820,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2558183,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2558201,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2558575,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2558852,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2558962,BisonFi,12,0,12.0,BisonFi,10.0,0.0
2559538,BisonFi,12,0,12.0,BisonFi,10.0,0.0
2559591,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2560062,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2560718,BisonFi,12,0,12.0,BisonFi,10.0,0.0
2561084,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2561091,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2561096,BisonFi,14,0,14.0,BisonFi,10.0,0.0
2561115,BisonFi,12,0,12.0,BisonFi,10.0,0.0
2561122,BisonFi,12,0,12.0,BisonFi,10.0,0.0
2561141,BisonFi,13,0,13.0,BisonFi,10.0,0.0
2561161,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2561178,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2561192,BisonFi,10,0,10.0,BisonFi,10.0,0.0
