signer,total_trades,trades_per_hour,aggregator_likelihood,late_slot_ratio,oracle_backrun_ratio,high_bytes_ratio,cluster_ratio,mev_score,wash_trading_score,classification,binary_label,validators,total_validators,pools,total_pools,sandwich_complete,front_running,back_running,total_attacks,cost_sol,profit_sol,net_profit_sol
3bmc5HGVE7ZHTnHGUWNWCt49fW274dUQS83uQ2EMekhg,2,20.0,0.0,0.0,1.0,0.5,1.0,0.6000000000000001,28.57142857142857,LIKELY MEV BOT,1,Hz5aLvpKScNWoe9YZWxBLrQA3qzHJivBGtfciMekk8m5,1,"ZeroFi,HumidiFi",2,1,0,2,3,0.002,0.014,0.012
F6ssLLyxSiMWojfymP8jGG1LaBGKmoLKTvzNPG9YVQnT,2,20.0,0.0,0.0,1.0,0.0,1.0,0.5,33.333333333333336,LIKELY MEV BOT,1,Awes4Tr6TX8JDzEhCZY2QVNimT6iD1zWHzf1vNyGvpLM,1,"HumidiFi,SolFiV2",2,1,0,2,3,0.002,0.014,0.012
9pLYJr3uetNRpEaHX74ZmuoHYKE9hqE1EahjnBinKVVz,2,20.0,0.0,0.0,1.0,0.5,1.0,0.6000000000000001,28.57142857142857,LIKELY MEV BOT,1,shftkxnsXmqAkmLgz9Mn7bNB5Fr6mKgFc58kFHfVikj,1,"HumidiFi,ZeroFi",2,1,0,2,3,0.002,0.014,0.012
4XDoxwwSEvLAQSgyWqsrThRXytdhhzLEnzyxADTGEb6o,2,20.0,0.0,0.0,1.0,0.0,1.0,0.5,33.333333333333336,LIKELY MEV BOT,1,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,1,"HumidiFi,GoonFi",2,1,0,2,3,0.002,0.014,0.012
ANmnQLth8w65obZPKWsng4mhY3GgcnyD2KcgcrMqxydM,3,2.5975787679683906,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.39999999999999997,5.195157535936781,LIKELY MEV BOT,1,"9n1eEtJJfj1535NYfx524QcCG5aHbf5DH7ejqBrFLBwG,J6etcxDdYjPHrtyvDXrbCkx3q9W1UjMj1vy1jBFPJEbK,9UM8wQ8F5oMiRcP5YdqD6Lr4krpBWCD8LtgQYoisJd9i",3,"GoonFi,HumidiFi",2,0,0,3,3,0.0015,0.006,0.0045000000000000005
9hdtD9f5FNtGAo8Bh95hVSrGRGWraFinXxXhic2ojMu4,2,20.0,0.0,0.0,1.0,0.0,1.0,0.5,33.333333333333336,LIKELY MEV BOT,1,5pPRHniefFjkiaArbGX3Y8NUysJmQ9tMZg3FrFGwHzSm,1,"GoonFi,HumidiFi",2,1,0,2,3,0.002,0.014,0.012
7LUdmaB44XtN6qjNnr6RoNKCJKihbLwqLroxMrJj9TBN,2,20.0,0.0,0.0,1.0,0.0,1.0,0.5,33.333333333333336,LIKELY MEV BOT,1,5pPRHniefFjkiaArbGX3Y8NUysJmQ9tMZg3FrFGwHzSm,1,"GoonFi,HumidiFi",2,1,0,2,3,0.002,0.014,0.012
Ab6YiLFbAjx4qqwmBjcgeriAAxQSe1aqnuSmi75ft7qi,2,20.0,0.5,0.5,1.0,0.0,0.0,0.44999999999999996,36.36363636363637,LIKELY MEV BOT,1,"GQzMeEMwAR44ugoNCifTb5NdRKos1GduDUPeNh6AgV46,CaveyttUBTKttncu1e4RF814XjuoGfYv8cEsiKGDNCPX",2,"SolFiV2,HumidiFi",2,0,0,2,2,0.001,0.004,0.003
HzneJKks8zkevC33qm7xM61kATusUyS2fRk9zGJRjFpH,2,20.0,0.0,0.0,1.0,0.0,1.0,0.5,33.333333333333336,LIKELY MEV BOT,1,HbidP4hpQdwhkzrxder3x3VNPt6DQnE25gFG46napD2p,1,HumidiFi,1,1,0,2,3,0.002,0.014,0.012
CQagWnPdPSz2jLLoceqGAam8oiPJ9EgugPgvohy7nSEG,2,20.0,0.0,0.0,1.0,0.0,1.0,0.5,33.333333333333336,LIKELY MEV BOT,1,DtdSSG8ZJRZVv5Jx7K1MeWp7Zxcu19GD5wQRGRpQ9uMF,1,"HumidiFi,TesseraV",2,1,0,2,3,0.002,0.014,0.012
F46MoWLVMxrDVZ5Xeqru3ENHp4cxoj4aUyRSsFarg4dg,2,20.0,0.0,0.0,1.0,0.0,1.0,0.5,33.333333333333336,LIKELY MEV BOT,1,DtdSSG8ZJRZVv5Jx7K1MeWp7Zxcu19GD5wQRGRpQ9uMF,1,"SolFiV2,HumidiFi",2,1,0,2,3,0.002,0.014,0.012
3v38cHWmwqiUdgPSPmMVGht23ZP6GhSfHBt4ZQNXpvZd,2,1.6547490262836198,0.5,0.5,1.0,0.0,0.0,0.44999999999999996,3.0086345932429452,LIKELY MEV BOT,1,"9UM8wQ8F5oMiRcP5YdqD6Lr4krpBWCD8LtgQYoisJd9i,EXckihF3qmguH5znjhfzLvHsbk2E3nEW2DqNh4MMnDMm",2,ZeroFi,1,0,0,2,2,0.001,0.004,0.003
ErnZ3Wf57TapdoKC3SsHQQQsK3drwFJ2j4UTsgj6N3bk,2,20.0,0.0,0.0,1.0,0.0,1.0,0.5,33.333333333333336,LIKELY MEV BOT,1,5pPRHniefFjkiaArbGX3Y8NUysJmQ9tMZg3FrFGwHzSm,1,"HumidiFi,SolFiV2",2,1,0,2,3,0.002,0.014,0.012
EheThJjikDUcXSgZoa45xguwrU656ih6XPrFnEgKpyA2,4,0.4687628787717996,0.5,0.25,1.0,0.0,0.3333333333333333,0.44166666666666665,0.8654083915787071,LIKELY MEV BOT,1,"EfPYQ4BUMiKa6736qqrtnCBGkUSRDGSr1WvtyUgWHuyp,BSVckjdW2f8kcXPGcrPPtV9kUDBZ8w8PjrrGVnxgEdwq,BkoS26vBuaXnSowACdChi4WKid8UwmuPNhEJWa8KsLHd",3,GoonFi,1,0,0,4,4,0.002,0.008,0.006
