amm_trade,attacker_signer,back_running,fat_sandwich,front_running,sandwich,validator,sandwich_complete,cost_sol,profit_sol,net_profit_sol,confidence
HumidiFi,9TXFVx8N9dPneS3ETRt8KWtUXLRUsz6j6JM3bEXqkR3Z,0,541,0,3,ChorusmmK7i1AxXeiTtQgQZhQNiXYU84ULeaYF1EH15n,271,0.271,2.71,2.439,high
HumidiFi,han5oo9sy98473nuWU7PwkdgpJVFvQEQ14S5CCdbeYQ,0,511,0,3,HnfPZDrbJFooiP9vvgWrjx3baXVNAZCgisT58gyMCgML,256,0.256,2.56,2.3040000000000003,high
HumidiFi,4swoALYuvetDK6N3ak1Knc1bMLbm7nzkxCW1nqjPWGRV,0,477,0,8,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,242,0.242,2.42,2.178,high
HumidiFi,foxMFk9faHggM4HWQWETCPSDvMbWx8LSv4c9CrkmBx6,0,424,0,1,6TkKqq15wXjqEjNg9zqTKADwuVATR9dW3rkNnsYme1ea,212,0.212,2.12,1.9080000000000001,high
ObricV2,A3vFkGBrj4MRugemEXWdSFztWgBXi9eQPtD3V28Va7WH,0,10,0,0,DtdSSG8ZJRZVv5Jx7K1MeWp7Zxcu19GD5wQRGRpQ9uMF,5,0.005,0.05,0.045000000000000005,high
ObricV2,5Y8qP9AavHyG69gTMbJP6v3Cj85VnDimdE1GZtfdV1WL,0,8,0,0,DtdSSG8ZJRZVv5Jx7K1MeWp7Zxcu19GD5wQRGRpQ9uMF,4,0.004,0.04,0.036000000000000004,high
ObricV2,ATQs6A92eUzdxTBsQhRJxxJDpgYDTGvLnU4e5mMEfY3k,0,6,0,1,DtdSSG8ZJRZVv5Jx7K1MeWp7Zxcu19GD5wQRGRpQ9uMF,3,0.003,0.03,0.027,high
ObricV2,7LFYBv2FQDY6aw5hL5SBCW2PiHG8TmENxBnfUnCksRbs,0,1,0,0,9r2CsyjRTmTRtu8GFk5oJRSQr5YfSENxDkf3eox8iPLa,0,0.0,0.0,0.0,medium
ObricV2,99WHBf1vR8XQtMsMKFU3JMh6ZihZSVSGDjVtyABbAM9J,0,1,0,0,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,0,0.0,0.0,0.0,high
ObricV2,9XUWb3unwaGczFkEJAZiQd2xaZmm6NK68G775JEn2kaZ,0,1,0,0,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,0,0.0,0.0,0.0,medium
ObricV2,AgmLJBMDCqWynYnQiPCuj9ewsNNsBJXyzoUhD9LJzN51,0,1,0,0,722RdWmHC5TGXBjTejzNjbc8xEiduVDLqZvoUGz6Xzbp,0,0.0,0.0,0.0,high
ObricV2,FbgR9632h4rvPciZzCHRGNrEaQM9bC2cGgAikJ8HUfS1,0,1,0,0,BeaCHioStqCEFDFxKwAEzyrUPYxqnBPhJ98gDKeEiTPb,0,0.0,0.0,0.0,medium
ObricV2,GBU3X8mgT7dVQ1XxEQxdUMuEJDzTL88bCZgDB8qQvq34,0,1,0,0,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,0,0.0,0.0,0.0,medium
ObricV2,J8hVkBNKobntWqLspa3yhXEkvb8vZ9S9NiHgirN9yvV3,0,1,0,0,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,0,0.0,0.0,0.0,medium
SolFi,2n78p72RVYbyAiPtzZCNBYjMsEXKRiqfd5zArK8r2tgG,0,1,0,0,BtsmiEEvnSuUnKxqXj2PZRYpPJAc7C34mGz8gtJ1DAaH,0,0.0,0.0,0.0,medium
SolFi,888SGnyhGzqQuuWDVL48tn7xJsAEV259mK9V4YEcUn6f,0,0,0,1,forb5u56XgvzxiKfRt4FVNFQKJrd2LWAfNCsCqL6P7q,0,0.0,0.0,0.0,medium
SolFi,8oKVwqA5S2B7g2Li6yqZ4KKghpER8G1vj3bbeg8dFkSw,0,1,0,0,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,0,0.0,0.0,0.0,medium
SolFi,AE861PyrYJXm2TuxiMc8Ecwo4YYgAHfcYum3GWpSRFe3,0,0,0,1,CAo1dCGYrB6NhHh5xb1cGjUiu86iyCfMTENxgHumSve4,0,0.0,0.0,0.0,medium
SolFi,CatyeC3LgBxub7HcpW2n7cZZZ66CUKdcZ8DzHucHrSiP,0,1,0,0,Awes4Tr6TX8JDzEhCZY2QVNimT6iD1zWHzf1vNyGvpLM,0,0.0,0.0,0.0,high
SolFi,GraZ9wjJVEGMQsyz3BwkkRdkJFmDrZw6Bnj3yzciwFEC,0,0,0,1,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,0,0.0,0.0,0.0,medium
SolFiV2,E2MPTDnFPNiCRmbJGKYSYew48NWRGVNfHjoiibFP5VL2,0,395,0,11,EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,202,0.202,2.02,1.818,high
SolFiV2,FbgR9632h4rvPciZzCHRGNrEaQM9bC2cGgAikJ8HUfS1,0,123,0,19,GSTampk6BJRKSDkzhaMM49R7qRx98MTPYYWvKbp83XKc,70,0.07,0.7000000000000001,0.6300000000000001,high
SolFiV2,GraZ9wjJVEGMQsyz3BwkkRdkJFmDrZw6Bnj3yzciwFEC,0,95,0,8,DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,51,0.051000000000000004,0.51,0.459,high
SolFiV2,FAzY5522HMCBk8hAwwPmDebLJphMETRwiQq2rXC2dtQw,0,82,0,1,EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,41,0.041,0.41000000000000003,0.36900000000000005,high
SolFiV2,6gRnEaxAPr1hjtwCzrmSAztA4xbHCVNWJSRXh74sXFKJ,0,78,0,3,Cogent51kHgGLHr7zpkpRjGYFXM57LgjHjDdqXd4ypdA,40,0.04,0.4,0.36000000000000004,high
SolFiV2,7JJ4RrYC4wBb2ZangbVW4XbQenhEbkdoo7vhoWoShYjp,0,78,0,1,DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,39,0.039,0.39,0.35100000000000003,high
SolFiV2,4i3kFLZuutG5fvjg5wvq15n4NPpj12wXCRMyP7TcZbNj,0,69,0,5,A4hyMd3FyvUJSRafDUSwtLLaQcxRP4r1BRC9w2AJ1to2,36,0.036000000000000004,0.36,0.32399999999999995,high
SolFiV2,8oKVwqA5S2B7g2Li6yqZ4KKghpER8G1vj3bbeg8dFkSw,0,54,0,2,DtdSSG8ZJRZVv5Jx7K1MeWp7Zxcu19GD5wQRGRpQ9uMF,28,0.028,0.28,0.252,high
SolFiV2,J1CMrMaFHJmG97R7xJYrJxRA3MNt7VyHe8CAEUnsQzre,0,39,0,2,9W3QTgBhkU4Bwg6cwnDJo6eGZ9BtZafSdu1Lo9JmWws7,20,0.02,0.2,0.18000000000000002,high
SolFiV2,o721S2ZPSjJTEC9B5HgXdqZFPVq1avjKzRfZpTKjV9g,0,39,0,2,DWvDTSh3qfn88UoQTEKRV2JnLt5jtJAVoiCo3ivtMwXP,20,0.02,0.2,0.18000000000000002,high
TesseraV,k3bS5WfZ5P2NTgkVSwdbVrveYc25iXiEHYfZfVruBGq,0,348,0,9,22rU5yUmdVThrkoPieVNphqEyAtMQKmZxjwcD8v4bJDU,178,0.178,1.78,1.602,high
TesseraV,AE861PyrYJXm2TuxiMc8Ecwo4YYgAHfcYum3GWpSRFe3,0,126,0,2,Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,64,0.064,0.64,0.5760000000000001,high
TesseraV,2EZWAWuv9e4pgcxPZRMmEffDH8q45S573gu5pDRp72HT,0,120,0,3,9n1eEtJJfj1535NYfx524QcCG5aHbf5DH7ejqBrFLBwG,61,0.061,0.61,0.5489999999999999,high
TesseraV,J8hVkBNKobntWqLspa3yhXEkvb8vZ9S9NiHgirN9yvV3,0,117,0,5,DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,60,0.06,0.6,0.54,high
TesseraV,YubQzu18FDqJRyNfG8JqHmsdbxhnoQqcKUHBdUkN6tP,0,79,0,0,G3a3iYZKNLbivothF3twqcaTCEvoPb9uJ2bFc9DNKkBQ,39,0.039,0.39,0.35100000000000003,high
TesseraV,1989zAmZBwkwR6g8S3H8gkDhHRm3P11gpurN7faJqDu,0,71,0,1,Aw5wEMXhbygFLR7jHtHpih8QvxVBGAMTqsQ2SjWPk1ex,35,0.035,0.35000000000000003,0.31500000000000006,high
TesseraV,EJdrWPg32qHnmc3cwgGRfTrvWpQkDH2vHNGsane6WFGd,0,59,0,2,ChorusmmK7i1AxXeiTtQgQZhQNiXYU84ULeaYF1EH15n,30,0.03,0.3,0.27,high
TesseraV,CwhHRY1Dys5supiVSru4aSCFaqHbtxb3Xvxm4w6g34DR,0,49,0,2,DUND26mEDfFeaPsVof3YvbXDRvpuQX7HMUJrLgEWzYw4,25,0.025,0.25,0.225,high
TesseraV,AG2UQKHngd3p6pTLJjS5Bk1eRVAEJAvNA89f6VmJrQUk,0,46,0,0,DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,23,0.023,0.23,0.20700000000000002,high
TesseraV,GJvewfRjqTUPtx6WsBSUnaFbdgXwgXnWfpDyLm65T4YA,0,38,0,6,3SkE34PVeGck2ArEffFKjihrQgURsvnoTAhitsNXNzXd,22,0.022,0.22,0.198,high
ZeroFi,E2MPTDnFPNiCRmbJGKYSYew48NWRGVNfHjoiibFP5VL2,0,62,0,1,BkoS26vBuaXnSowACdChi4WKid8UwmuPNhEJWa8KsLHd,31,0.031,0.31,0.279,high
ZeroFi,AE861PyrYJXm2TuxiMc8Ecwo4YYgAHfcYum3GWpSRFe3,0,43,0,3,DWvDTSh3qfn88UoQTEKRV2JnLt5jtJAVoiCo3ivtMwXP,22,0.022,0.22,0.198,high
ZeroFi,8oKVwqA5S2B7g2Li6yqZ4KKghpER8G1vj3bbeg8dFkSw,0,39,0,1,DrifTrN923QaouP89UxkQzFGbumKPCnfkNYQRwmZxatz,19,0.019,0.19,0.171,high
ZeroFi,FAzY5522HMCBk8hAwwPmDebLJphMETRwiQq2rXC2dtQw,0,34,0,5,BkoS26vBuaXnSowACdChi4WKid8UwmuPNhEJWa8KsLHd,19,0.019,0.19,0.171,high
ZeroFi,1989zAmZBwkwR6g8S3H8gkDhHRm3P11gpurN7faJqDu,0,32,0,2,shftkxnsXmqAkmLgz9Mn7bNB5Fr6mKgFc58kFHfVikj,17,0.017,0.17,0.15300000000000002,high
ZeroFi,GraZ9wjJVEGMQsyz3BwkkRdkJFmDrZw6Bnj3yzciwFEC,0,30,0,0,2Mob8FJkb8chZY5pTBMpKfLwgZAQHE5i9jAC5zbASitD,15,0.015,0.15,0.135,high
ZeroFi,o721S2ZPSjJTEC9B5HgXdqZFPVq1avjKzRfZpTKjV9g,0,28,0,1,2Mob8FJkb8chZY5pTBMpKfLwgZAQHE5i9jAC5zbASitD,14,0.014,0.14,0.126,high
ZeroFi,6gRnEaxAPr1hjtwCzrmSAztA4xbHCVNWJSRXh74sXFKJ,0,28,0,0,BkoS26vBuaXnSowACdChi4WKid8UwmuPNhEJWa8KsLHd,14,0.014,0.14,0.126,high
ZeroFi,7JJ4RrYC4wBb2ZangbVW4XbQenhEbkdoo7vhoWoShYjp,0,26,0,0,2Mob8FJkb8chZY5pTBMpKfLwgZAQHE5i9jAC5zbASitD,13,0.013000000000000001,0.13,0.117,high
ZeroFi,J1CMrMaFHJmG97R7xJYrJxRA3MNt7VyHe8CAEUnsQzre,0,25,0,0,JupmVLmA8RoyTUbTMMuTtoPWHEiNQobxgTeGTrPNkzT,12,0.012,0.12,0.108,high
