signer,aggregator_likelihood,unique_pools,pool_list,total_trades,trades_per_hour,mev_score,top_pools
5JMJJRETgfJy4jp4DXyXFKEcETP672kdQTtmvkfzeBUZ,1.0,1,HumidiFi,2,20.0,0.44999999999999996,HumidiFi(2)
7KMtBhvUHf6zaoAkQUGJMTsALLqq7nPbQMoZQqLRYSjr,1.0,1,ZeroFi,3,1.9125222928379757,0.43333333333333335,ZeroFi(3)
5qH6jTwhHf2Rw95iBEQ2KorhBjDCgVtZFqpTUqkVWqDy,1.0,1,SolFiV2,2,20.0,0.3,SolFiV2(2)
5xLC8t7vBQ9JhBYghHQ84YYcj6uogPviTJbr3WNYCvqb,1.0,1,SolFiV2,3,30.0,0.3,SolFiV2(3)
A1n3mzWpVRDPC9cFbeihjTJ7TnKVRtRpgbNodiiouxy3,1.0,1,GoonFi,3,0.3679844154511341,0.4,GoonFi(3)
7yYiBcFC1rmjLbPGY2J6mzPZhNk9roMG1Y1h3S8Gv2YB,1.0,1,HumidiFi,2,11.670502804162478,0.3,HumidiFi(2)
FhWBjtNWsiTCaWUmLdwyJRCgjtdc4E2m1s8o9bbqf7qe,1.0,1,ZeroFi,3,2.918923652308625,0.5333333333333333,ZeroFi(3)
2fe7C6UeNXyxxpDYt3GcGeA4LothATwQWaMkbUjYbWqi,1.0,1,SolFiV2,5,50.0,0.36,SolFiV2(5)
7otGAByW9kKPfDDVTLxHy3C4Xp7GtxnLesZ33AaEJR9d,1.0,1,SolFiV2,2,3.6343702393535664,0.44999999999999996,SolFiV2(2)
GpEWSvz8YfRuQbwXWJKx1L79DrYGBTF6ViWZBRK4Py3f,1.0,1,ZeroFi,3,0.4043901341837608,0.3,ZeroFi(3)
9Xhk6MJQTtrRNwxjQNfb2jDhUH7NfKjKDysWnrfj2tmP,1.0,1,HumidiFi,2,6.092056043531125,0.3,HumidiFi(2)
24on9msELK1MQv5nmpsH3FSLioNFXErA2iRVonfxtAyC,1.0,1,TesseraV,2,0.2055260414768108,0.3,TesseraV(2)
2paQhg7zQRo9RWmhbM4jJuQFxwNduQUviqpULFT7fRpG,1.0,1,SolFiV2,2,20.0,0.3,SolFiV2(2)
9LRCVdNhBdpxJQWbadsPaaJXHfPjhaVFscpBjFa2BNLR,1.0,1,HumidiFi,2,2.8320678185840293,0.44999999999999996,HumidiFi(2)
5vVd1qK5RNv2s6xh9PeXMuu1XsED1veaYZkiG7Jo64S7,1.0,1,GoonFi,2,20.0,0.3,GoonFi(2)
3WxatVmrQBY5LRcgbsuGPdkUDU4gZP75ZWcBAyvbSpxd,1.0,1,ZeroFi,2,20.0,0.4,ZeroFi(2)
CLqSjsnvCprTU64XXhTXT1bJUaD3aXuyLEk9tXrUFH7K,1.0,1,GoonFi,2,20.0,0.3,GoonFi(2)
AaUQ7DNomoz4hbisxAMFGwHEpRAC6L3v1QkSFj3SeyaD,1.0,1,ZeroFi,2,1.519011697233964,0.4,ZeroFi(2)
9VTFzv1osgdwhktNGuvrnBV23gZ3MQfYrWqNF1s94fgy,1.0,1,HumidiFi,2,20.0,0.3,HumidiFi(2)
hQBAKjVwzhKKuwCiR5eSBUWM8TqgVkofkorpUaEvd84,1.0,1,GoonFi,5,0.5332044479441087,0.53,GoonFi(5)
63JhAgMeuHgTXLMMeciCUQWQb7iHYUh52ZU24rsf738C,1.0,1,SolFiV2,2,2.382519454760423,0.3,SolFiV2(2)
7PUgiexkqs9NFPjdijBNyngqd7ETJA4J4V9JssoN3j2u,1.0,1,ZeroFi,3,1.6356318150379079,0.4666666666666666,ZeroFi(3)
DCPjDxQuvLhzjPqhwnwyxyUHNeYouxEHG7X7bkwyJoWs,1.0,1,ZeroFi,2,20.0,0.4,ZeroFi(2)
AiuP3f5Yxtp9iRkcK6EDimtLi3UtevcmgVJJyiHKXmHE,1.0,1,SolFiV2,4,12.224679420516239,0.3,SolFiV2(4)
2NsbAhrWxwsXndtgR7bqS5ew2PJxu5ngVKSHaCqBkzHt,1.0,1,GoonFi,4,0.5489474942014562,0.44999999999999996,GoonFi(4)
CoPcN1niry3ZgiGRNVSNkJVVHcevsxwCXWu1hsqbAosB,1.0,1,SolFiV2,2,0.2829980546635112,0.3,SolFiV2(2)
74vGbwdbpp7WzcchPjWEJpuRQa3rytHaV16LDeJbJZNn,1.0,1,SolFiV2,2,20.0,0.3,SolFiV2(2)
5Gk7MsjKWBciyFbyrVHFxkbo5ar1vgPdqK7hqnQ5u1DS,1.0,1,HumidiFi,2,20.0,0.3,HumidiFi(2)
9JRcuXiBsXMtQGXFC67UMPRjuGpKCD3xNaEmWHiyoDpn,1.0,1,ZeroFi,5,2.831563055841727,0.42,ZeroFi(5)
9SnqMx5h1Su8To27v6ZFd9zhSbicXx9b4hvHwbnRGYDP,1.0,1,SolFiV2,2,20.0,0.3,SolFiV2(2)
CMgy2pzwj5A5W3UYmzBYFRiVm9grLyj8jr6EEA9dq34g,1.0,1,HumidiFi,2,20.0,0.3,HumidiFi(2)
2iJvKfpLkVnFgZZAA1RSvBJiKgyqryfdfgV6wS1Vk1Ua,1.0,1,HumidiFi,2,20.0,0.3,HumidiFi(2)
4wUNfreXe4d6Jx6BNcZFSUzdRhCj6PNt21BDndsq738h,1.0,1,GoonFi,2,2.83153209875912,0.44999999999999996,GoonFi(2)
2UB5UWnZmfMpRWwQXd9ycnqFJsHrHbWftGEJc8vfmJrQ,1.0,1,ZeroFi,4,0.48451775661683866,0.35,ZeroFi(4)
98prAJCHD9mGApdisimTYfGSAsLCPRqWR7XgkRzejBnd,1.0,1,HumidiFi,5,8.587507657194326,0.36,HumidiFi(5)
BpF48YBLpCPpyGNq3YX3BWDDDSSKp5PLXmx6gTKPkAND,1.0,1,SolFiV2,5,50.0,0.36,SolFiV2(5)
9NmsGeVQ3tc4NUwSRdD7e245UUJqriqoAr1iW79vV8Tc,1.0,1,SolFiV2,2,20.0,0.44999999999999996,SolFiV2(2)
FhRiiVdT5Q2NDb6szFyETdyZK9Ui2e84Mi9qPNhV8tTK,1.0,1,HumidiFi,4,0.8463006874606273,0.3,HumidiFi(4)
